timestamp,interval(s),volt_0,volt_1
2020-06-08 10:43:31.299233,0.0312,0.0,0.0
2020-06-08 10:43:31.314833,0.0468,0.0,0.0
2020-06-08 10:43:31.330433,0.0624,0.0,0.0
2020-06-08 10:43:31.361633,0.0936,0.0,0.0
2020-06-08 10:43:31.377233,0.1092,0.0,0.0
2020-06-08 10:43:31.392833,0.1248,0.0,0.0
2020-06-08 10:43:31.424033,0.156,0.0,0.0
2020-06-08 10:43:31.439633,0.1716,0.0,0.0
2020-06-08 10:43:31.455233,0.1872,0.0,0.0
2020-06-08 10:43:31.470833,0.2028,0.0,0.0
2020-06-08 10:43:31.502033,0.234,0.0,0.0
2020-06-08 10:43:31.517633,0.2496,0.0,0.0
2020-06-08 10:43:31.533233,0.2652,0.0,0.0
2020-06-08 10:43:31.548833,0.2808,0.0,0.0
2020-06-08 10:43:31.580033,0.312,0.0,0.0
2020-06-08 10:43:31.595633,0.3276,0.0,0.0
2020-06-08 10:43:31.611233,0.3432,0.0,0.0
2020-06-08 10:43:31.642433,0.3744,0.0,0.0
2020-06-08 10:43:31.658033,0.39,0.0,0.0
2020-06-08 10:43:31.673633,0.4056,0.0,0.0
2020-06-08 10:43:31.689233,0.4212,0.0,0.0
2020-06-08 10:43:31.720433,0.4524,0.0,0.0
2020-06-08 10:43:31.736033,0.468,0.0,0.0
2020-06-08 10:43:31.751633,0.4836,0.0,0.0
2020-06-08 10:43:31.782833,0.5148,0.0,0.0
2020-06-08 10:43:31.798433,0.5304,0.0,0.0
2020-06-08 10:43:31.814033,0.546,0.0,0.0
2020-06-08 10:43:31.829633,0.5616,0.0,0.0
2020-06-08 10:43:31.860833,0.5928,0.0,0.0
2020-06-08 10:43:31.876433,0.6084,0.0,0.0
2020-06-08 10:43:31.892033,0.624,0.0,0.0
2020-06-08 10:43:31.923233,0.6552,0.0,0.0
2020-06-08 10:43:31.938833,0.6708,0.0,0.0
2020-06-08 10:43:31.954433,0.6864,0.0,0.0
2020-06-08 10:43:31.970033,0.702,0.0,0.0
2020-06-08 10:43:32.001233,0.7332,0.0,0.0
2020-06-08 10:43:32.016833,0.7488,0.0,0.0
2020-06-08 10:43:32.032433,0.7644,0.0,0.0
2020-06-08 10:43:32.063633,0.7956,0.0,0.0
2020-06-08 10:43:32.079233,0.8112,0.0,0.0
2020-06-08 10:43:32.094833,0.8268,0.0,0.0
2020-06-08 10:43:32.110433,0.8424,0.0,0.0
2020-06-08 10:43:32.141633,0.8736,0.0,0.0
2020-06-08 10:43:32.157233,0.8892,0.0,0.0
2020-06-08 10:43:32.172833,0.9048,0.0,0.0
2020-06-08 10:43:32.204033,0.936,0.0,0.0
