timestamp,interval(s),volt_0,volt_1,volt_2,volt_3,volt_4,volt_5
2020-05-21 16:52:37.384178,0.0624,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.430978,0.1092,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.477778,0.156,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.524578,0.2028,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.586978,0.2652,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.633778,0.312,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.680578,0.3588,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.727378,0.4056,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.774178,0.4524,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.836578,0.5148,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.883378,0.5616,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.930178,0.6084,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:37.976978,0.6552,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.023778,0.702,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.086178,0.7644,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.132978,0.8112,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.179778,0.858,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.226578,0.9048,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.273378,0.9516,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.335778,1.014,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.382578,1.0608,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.429378,1.1076,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.476178,1.1544,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.522978,1.2012,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.585378,1.2636,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.632178,1.3104,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.678978,1.3572,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.725778,1.404,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.788178,1.4664,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.834978,1.5132,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.881778,1.56,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.928578,1.6068,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:38.975378,1.6536,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.037778,1.716,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.084578,1.7628,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.131378,1.8096,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.178178,1.8564,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.224978,1.9032,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.287378,1.9656,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.334178,2.0124,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.380978,2.0592,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.427778,2.106,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.474578,2.1528,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.536978,2.2152,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.583778,2.262,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.630578,2.3088,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.677378,2.3556,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.724178,2.4024,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.786578,2.4648,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.833378,2.5116,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.880178,2.5584,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.926978,2.6052,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:39.973778,2.652,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:40.036178,2.7144,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:40.082978,2.7612,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:40.129778,2.808,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:40.176578,2.8548,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:40.223378,2.9016,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:40.285778,2.964,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21 16:52:40.332578,3.0108,0.0,0.0,0.0,0.0,0.0,0.0
