timestamp,interval(s),volt_0,volt_1,volt_2,volt_3,volt_4,volt_5,volt_6,volt_7
2020-05-22 17:45:27.768582,0.0624,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:27.815382,0.1092,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:27.862182,0.156,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:27.908982,0.2028,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:27.971382,0.2652,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.018182,0.312,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.064982,0.3588,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.111782,0.4056,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.158582,0.4524,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.220982,0.5148,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.267782,0.5616,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.314582,0.6084,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.361382,0.6552,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.408182,0.702,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.470582,0.7644,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.517382,0.8112,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.564182,0.858,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.610982,0.9048,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.657782,0.9516,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.720182,1.014,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.766982,1.0608,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.813782,1.1076,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.860582,1.1544,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.907382,1.2012,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:28.969782,1.2636,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.016582,1.3104,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.063382,1.3572,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.110182,1.404,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.172582,1.4664,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.219382,1.5132,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.266182,1.56,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.312982,1.6068,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.359782,1.6536,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.422182,1.716,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.468982,1.7628,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.515782,1.8096,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.562582,1.8564,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.609382,1.9032,0.0,0.0,0.0137,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.671782,1.9656,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.718582,2.0124,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.765382,2.0592,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.812182,2.106,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.858982,2.1528,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.921382,2.2152,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:29.968182,2.262,0.0,0.0,0.0137,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:30.014982,2.3088,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:30.061782,2.3556,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
2020-05-22 17:45:30.108582,2.4024,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
