timestamp,interval(s),volt_0,volt_1,volt_2,volt_3
2020-05-28 16:01:57.241318,0.1092,0.0,0.0,0.0,0.0
2020-05-28 16:01:57.334918,0.2028,0.0,0.0,0.0,0.0
2020-05-28 16:01:57.444118,0.312,0.0,0.0,0.0,0.0
2020-05-28 16:01:57.537718,0.4056,0.0,0.0,0.0,0.0
2020-05-28 16:01:57.646918,0.5148,0.0,0.0,0.0,0.0
2020-05-28 16:01:57.740518,0.6084,0.0,0.0,0.0,0.0
2020-05-28 16:01:57.834118,0.702,0.0,0.0,0.0,0.0
2020-05-28 16:01:57.943318,0.8112,0.0,0.0,0.0,0.0
2020-05-28 16:01:58.036918,0.9048,0.0,0.0,0.0,0.0
2020-05-28 16:01:58.146118,1.014,0.0,0.0,0.0,0.0
2020-05-28 16:01:58.239718,1.1076,0.0,0.0,0.0,0.0
2020-05-28 16:01:58.333318,1.2012,0.0,0.0,0.0,0.0
2020-05-28 16:01:58.442518,1.3104,0.0,0.0,0.0,0.0
2020-05-28 16:01:58.536118,1.404,0.0,0.0,0.0,0.0
2020-05-28 16:01:58.645318,1.5132,0.0,0.0,0.0,0.0
2020-05-28 16:01:58.738918,1.6068,0.0,0.0,0.0,0.0
2020-05-28 16:01:58.848118,1.716,0.0,0.0,0.0,0.0
2020-05-28 16:01:58.941718,1.8096,0.0,0.0,0.0,0.0
2020-05-28 16:01:59.035318,1.9032,0.0,0.0,0.0,0.0
2020-05-28 16:01:59.144518,2.0124,0.0,0.0,0.0,0.0
2020-05-28 16:01:59.238118,2.106,0.0,0.0,0.0,0.0
2020-05-28 16:01:59.347318,2.2152,0.0,0.0,0.0,0.0
2020-05-28 16:01:59.440918,2.3088,0.0,0.0,0.0,0.0
2020-05-28 16:01:59.534518,2.4024,0.0,0.0,0.0,0.0
2020-05-28 16:01:59.643718,2.5116,0.0,0.0,0.0,0.0
2020-05-28 16:01:59.737318,2.6052,0.0,0.0,0.0,0.0
2020-05-28 16:01:59.846518,2.7144,0.0,0.0,0.0,0.0
2020-05-28 16:01:59.940118,2.808,0.0,0.0,0.0,0.0
2020-05-28 16:02:00.033718,2.9016,0.0,0.0,0.0,0.0
2020-05-28 16:02:00.142918,3.0108,0.0,0.0,0.0,0.0
2020-05-28 16:02:00.236518,3.1044,0.0,0.0,0.0,0.0
2020-05-28 16:02:00.345718,3.2136,0.0,0.0,0.0,0.0
2020-05-28 16:02:00.439318,3.3072,0.0,0.0,0.0,0.0
2020-05-28 16:02:00.532918,3.4008,0.0,0.0,0.0,0.0
2020-05-28 16:02:00.642118,3.51,0.0,0.0,0.0,0.0
2020-05-28 16:02:00.735718,3.6036,0.0,0.0,0.0,0.0
2020-05-28 16:02:00.844918,3.7128,0.0,0.0,0.0,0.0
2020-05-28 16:02:00.938518,3.8064,0.0,0.0,0.0,0.0
2020-05-28 16:02:01.047718,3.9156,0.0,0.0,0.0,0.0
2020-05-28 16:02:01.141318,4.0092,0.0,0.0,0.0,0.0
2020-05-28 16:02:01.234918,4.1028,0.0,0.0,0.0,0.0
2020-05-28 16:02:01.344118,4.212,0.0,0.0,0.0,0.0
